feature,importance
raster_6h_max,7206
raster_max,6442
dem,6123
wInfiRate,5118
wDem,2865
wNdvi,2579
wCN,2297
tpi,2183
profCurvature,2014
wSlope,1985
eleStream,1909
planCurvature,1850
disStream,1836
flowLength,1668
twi,1569
area,1490
spi,1471
streamSlope,1330
